village_code,village_name,district_code,tehsil_code
124896,Tarhat,118,768
125108,Tas Pura,118,769
125190,Tasond,118,770
124776,Teekri,118,767
124977,Tehra,118,768
124729,Tehra Rawat,118,767
124516,Tehu,118,765
125083,Thana Shankar Dwari,118,769
124884,Thansera,118,768
125041,Thap Khargh,118,769
125043,Thap Mahadwari,118,769
125019,Thapenra,118,768
124817,Thapi,118,767
125045,Therai,118,769
125366,Tilupura,118,770
124780,Tirpuri,118,767
125178,Tiwaha,118,769
125030,Tondra,118,769
125040,Tor,118,769
124670,Tora,118,766
125223,Torahpall,118,770
124826,Turkia,118,767
125339,Udaypur Kalan,118,770
125233,Udaypur Khalsa,118,770
125401,Udaypur Khurd,118,770
124920,Udena,118,768
125381,Udhannapura,118,770
125324,Uganpura,118,770
124852,Ujarai,118,767
125155,Ujhaoli,118,769
124475,Ujrai,118,765
940851,Ukharra,118,766
